formtype	companyname	cik	filingdate	url
10-K	155 East Tropicana Finance	1326686	2008-03-31	https://www.sec.gov/Archives/edgar/data/1326686/0001104659-08-021249.txt
10-K	155 East Tropicana,	1326688	2008-03-31	https://www.sec.gov/Archives/edgar/data/1326688/0001104659-08-021249.txt
10-K	180 Connect	1323639	2008-03-31	https://www.sec.gov/Archives/edgar/data/1323639/0000950144-08-002487.txt
10-K	1ST CENTENNIAL	1097081	2008-03-07	https://www.sec.gov/Archives/edgar/data/1097081/0001193125-08-050319.txt
10-K	1ST SOURCE	34782	2008-02-22	https://www.sec.gov/Archives/edgar/data/34782/0000034782-08-000022.txt
10-K	1st Century Bancshares,	1420525	2008-03-17	https://www.sec.gov/Archives/edgar/data/1420525/0001104659-08-017911.txt
10-K	1st Pacific	1380712	2008-03-31	https://www.sec.gov/Archives/edgar/data/1380712/0001047469-08-003795.txt
10-K	21ST CENTURY HOLDING	1069996	2008-03-17	https://www.sec.gov/Archives/edgar/data/1069996/0001144204-08-015873.txt
10-K	3D SYSTEMS	910638	2008-03-17	https://www.sec.gov/Archives/edgar/data/910638/0000950144-08-002028.txt
10-K	3M	66740	2008-02-15	https://www.sec.gov/Archives/edgar/data/66740/0001104659-08-011226.txt
10-K	4 KIDS ENTERTAINMENT	58592	2008-03-17	https://www.sec.gov/Archives/edgar/data/58592/0000058592-08-000012.txt
10-K	A. H. Belo	1413898	2008-03-31	https://www.sec.gov/Archives/edgar/data/1413898/0000950134-08-005741.txt
10-K	A.C. Moore Arts & Crafts,	1042809	2008-03-27	https://www.sec.gov/Archives/edgar/data/1042809/0000893220-08-000853.txt
10-K	AAON	824142	2008-03-12	https://www.sec.gov/Archives/edgar/data/824142/0001026608-08-000053.txt
10-K	AARON RENTS	706688	2008-02-29	https://www.sec.gov/Archives/edgar/data/706688/0000950144-08-001538.txt
10-K	ABBOTT	1800	2008-02-19	https://www.sec.gov/Archives/edgar/data/1800/0001047469-08-001480.txt
10-K	ABERCROMBIE & FITCH CO	1018840	2008-03-28	https://www.sec.gov/Archives/edgar/data/1018840/0000950152-08-002415.txt
10-K	ABFC 2007-WMC1	1406224	2008-03-28	https://www.sec.gov/Archives/edgar/data/1406224/0001056404-08-000947.txt
10-K	ABIGAIL ADAMS NATIONAL BANCORP	356809	2008-03-31	https://www.sec.gov/Archives/edgar/data/356809/0000950133-08-001342.txt
10-K	ABINGTON BANCORP,	1397533	2008-03-14	https://www.sec.gov/Archives/edgar/data/1397533/0001188112-08-000852.txt
10-K	ABLEAUCTIONS COM	1099290	2008-03-31	https://www.sec.gov/Archives/edgar/data/1099290/0001134821-08-000035.txt
10-K	ABRAXAS PETROLEUM	867665	2008-03-17	https://www.sec.gov/Archives/edgar/data/867665/0000867665-08-000015.txt
10-K	ABX Holdings,	894081	2008-03-17	https://www.sec.gov/Archives/edgar/data/894081/0001193125-08-059080.txt
10-K	ACACIA RESEARCH	934549	2008-03-14	https://www.sec.gov/Archives/edgar/data/934549/0001019687-08-001103.txt
10-K	ACADIA PHARMACEUTICALS	1070494	2008-03-05	https://www.sec.gov/Archives/edgar/data/1070494/0001193125-08-047838.txt
10-K	ACADIA REALTY	899629	2008-02-29	https://www.sec.gov/Archives/edgar/data/899629/0000893220-08-000567.txt
