formtype	companyname	cik	filingdate	url
10-K	1 800 CONTACTS	1050122	2003-03-28	https://www.sec.gov/Archives/edgar/data/1050122/0001104659-03-005254.txt
10-K	1ST SOURCE	34782	2003-02-26	https://www.sec.gov/Archives/edgar/data/34782/0001157523-03-000468.txt
10-K	21ST CENTURY INSURANCE	100331	2003-03-19	https://www.sec.gov/Archives/edgar/data/100331/0001015402-03-000776.txt
10-K	24/7 REAL MEDIA	1062195	2003-03-31	https://www.sec.gov/Archives/edgar/data/1062195/0001047469-03-011363.txt
10-K	3CI COMPLETE COMPLIANCE	883787	2003-01-15	https://www.sec.gov/Archives/edgar/data/883787/0000950129-03-000141.txt
10-K	3M	66740	2003-03-10	https://www.sec.gov/Archives/edgar/data/66740/0000066740-03-000005.txt
10-K	3TEC ENERGY	903267	2003-03-26	https://www.sec.gov/Archives/edgar/data/903267/0000899243-03-000645.txt
10-K	4 KIDS ENTERTAINMENT	58592	2003-03-31	https://www.sec.gov/Archives/edgar/data/58592/0000891092-03-000558.txt
10-K	4-D	729330	2003-01-14	https://www.sec.gov/Archives/edgar/data/729330/0001047469-03-001358.txt
10-K	7 ELEVEN	92344	2003-03-21	https://www.sec.gov/Archives/edgar/data/92344/0000930661-03-001148.txt
10-K	724 SOLUTIONS	1097641	2003-03-31	https://www.sec.gov/Archives/edgar/data/1097641/0001047469-03-011090.txt
10-K	99 CENTS ONLY	1011290	2003-03-31	https://www.sec.gov/Archives/edgar/data/1011290/0001015402-03-000984.txt
10-K	A C MOORE ARTS & CRAFTS	1042809	2003-03-25	https://www.sec.gov/Archives/edgar/data/1042809/0000950116-03-002055.txt
10-K	A CONSULTING TEAM	1040792	2003-03-28	https://www.sec.gov/Archives/edgar/data/1040792/0001125282-03-002517.txt
10-K	A I RECEIVABLES TRANSFER	1094412	2003-03-31	https://www.sec.gov/Archives/edgar/data/1094412/0000909518-03-000157.txt
10-K	A R T INTERNATIONAL	810269	2003-03-10	https://www.sec.gov/Archives/edgar/data/810269/0001010549-03-000078.txt
10-K	AAIPHARMA	1013243	2003-03-28	https://www.sec.gov/Archives/edgar/data/1013243/0000950144-03-004083.txt
10-K	AAON	824142	2003-03-28	https://www.sec.gov/Archives/edgar/data/824142/0001026608-03-000049.txt
10-K	AARON RENTS	706688	2003-03-31	https://www.sec.gov/Archives/edgar/data/706688/0001047469-03-011371.txt
10-K	AAVID THERMAL TECHNOLOGIES	1003481	2003-03-28	https://www.sec.gov/Archives/edgar/data/1003481/0000950135-03-002059.txt
10-K	ABATIX	845779	2003-03-27	https://www.sec.gov/Archives/edgar/data/845779/0000845779-03-000021.txt
10-K	ABBOTT	1800	2003-02-19	https://www.sec.gov/Archives/edgar/data/1800/0001047469-03-006107.txt
10-K	ABC	351569	2003-03-31	https://www.sec.gov/Archives/edgar/data/351569/0000931763-03-000769.txt
10-K	ABFC ASSET BACKED CERTIFICATES SERIES	1178714	2003-03-31	https://www.sec.gov/Archives/edgar/data/1178714/0001019965-03-000373.txt
10-K	ABFC ASSET BACKED CERTIFICATES SERIES	1173466	2003-03-31	https://www.sec.gov/Archives/edgar/data/1173466/0001136999-03-000162.txt
10-K	ABFC MORTGAGE LOAN ASSET BACKED CERTIFICATES SERIES 2002	1201861	2003-03-31	https://www.sec.gov/Archives/edgar/data/1201861/0001056404-03-000577.txt
10-K	ABFS MORT LOAN TRUST 2002-4 MORT PASS THRU CERT SER	1211571	2003-03-26	https://www.sec.gov/Archives/edgar/data/1211571/0001051170-03-000186.txt
10-K	ABFS MORTGAGE LOAN TR 2001-2 MORT PASS-THR CERT SER	1210005	2003-01-09	https://www.sec.gov/Archives/edgar/data/1210005/0001051170-03-000034.txt
10-K	ABFS MORTGAGE LOAN TRUST 2002-1 MTG PASS THR CERT	1171481	2003-03-26	https://www.sec.gov/Archives/edgar/data/1171481/0001051170-03-000180.txt
10-K	ABFS MORTGAGE LOAN TRUST 2002-2 MTG PASS THR CERT SER	1177851	2003-03-26	https://www.sec.gov/Archives/edgar/data/1177851/0001051170-03-000182.txt
10-K	ABGENIX	1052837	2003-03-28	https://www.sec.gov/Archives/edgar/data/1052837/0001047469-03-010967.txt
10-K	ABLE LABORATORIES	857171	2003-03-25	https://www.sec.gov/Archives/edgar/data/857171/0001072613-03-000491.txt
10-K	ABLEST	46653	2003-03-20	https://www.sec.gov/Archives/edgar/data/46653/0000950144-03-003439.txt
10-K	ABN AMRO MORTGAGE	943489	2003-03-28	https://www.sec.gov/Archives/edgar/data/943489/0001136999-03-000122.txt
10-K	ABN AMRO MORTGAGE	943489	2003-03-31	https://www.sec.gov/Archives/edgar/data/943489/0001136999-03-000152.txt
10-K	ABN AMRO MORTGAGE CORP MUL CLASS MOR PASS THR CE SER	1211926	2003-03-28	https://www.sec.gov/Archives/edgar/data/1211926/0001136999-03-000136.txt
10-K	ABN AMRO MORTGAGE CORP MULTI CLASS CER SER	1192782	2003-03-28	https://www.sec.gov/Archives/edgar/data/1192782/0001136999-03-000134.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083053	2003-03-28	https://www.sec.gov/Archives/edgar/data/1083053/0001136999-03-000123.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083054	2003-03-28	https://www.sec.gov/Archives/edgar/data/1083054/0001136999-03-000125.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083055	2003-03-31	https://www.sec.gov/Archives/edgar/data/1083055/0001136999-03-000144.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083056	2003-03-31	https://www.sec.gov/Archives/edgar/data/1083056/0001136999-03-000145.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083057	2003-03-31	https://www.sec.gov/Archives/edgar/data/1083057/0001136999-03-000146.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083058	2003-03-31	https://www.sec.gov/Archives/edgar/data/1083058/0001136999-03-000153.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083059	2003-03-31	https://www.sec.gov/Archives/edgar/data/1083059/0001136999-03-000143.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1089050	2003-03-31	https://www.sec.gov/Archives/edgar/data/1089050/0001136999-03-000154.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1091361	2003-03-31	https://www.sec.gov/Archives/edgar/data/1091361/0001136999-03-000156.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1094745	2003-03-31	https://www.sec.gov/Archives/edgar/data/1094745/0001136999-03-000157.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1097281	2003-03-28	https://www.sec.gov/Archives/edgar/data/1097281/0001136999-03-000132.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1099347	2003-03-28	https://www.sec.gov/Archives/edgar/data/1099347/0001136999-03-000131.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1106943	2003-03-28	https://www.sec.gov/Archives/edgar/data/1106943/0001136999-03-000128.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1112070	2003-03-28	https://www.sec.gov/Archives/edgar/data/1112070/0001136999-03-000129.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1128679	2003-03-28	https://www.sec.gov/Archives/edgar/data/1128679/0001136999-03-000130.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1130255	2003-03-28	https://www.sec.gov/Archives/edgar/data/1130255/0001136999-03-000133.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1160941	2003-03-31	https://www.sec.gov/Archives/edgar/data/1160941/0001136999-03-000142.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1141251	2003-03-31	https://www.sec.gov/Archives/edgar/data/1141251/0001136999-03-000158.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1142807	2003-03-28	https://www.sec.gov/Archives/edgar/data/1142807/0001136999-03-000137.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1157237	2003-03-28	https://www.sec.gov/Archives/edgar/data/1157237/0001136999-03-000138.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1158960	2003-03-28	https://www.sec.gov/Archives/edgar/data/1158960/0001136999-03-000139.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1160942	2003-03-28	https://www.sec.gov/Archives/edgar/data/1160942/0001136999-03-000140.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1162117	2003-03-28	https://www.sec.gov/Archives/edgar/data/1162117/0001136999-03-000141.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1164750	2003-03-31	https://www.sec.gov/Archives/edgar/data/1164750/0001136999-03-000147.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1173325	2003-03-28	https://www.sec.gov/Archives/edgar/data/1173325/0001136999-03-000135.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1166764	2003-03-31	https://www.sec.gov/Archives/edgar/data/1166764/0001136999-03-000148.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1168862	2003-03-31	https://www.sec.gov/Archives/edgar/data/1168862/0001136999-03-000149.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1172090	2003-03-31	https://www.sec.gov/Archives/edgar/data/1172090/0001136999-03-000150.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1174740	2003-03-31	https://www.sec.gov/Archives/edgar/data/1174740/0001136999-03-000151.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1182593	2003-03-31	https://www.sec.gov/Archives/edgar/data/1182593/0001136999-03-000155.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1209252	2003-03-31	https://www.sec.gov/Archives/edgar/data/1209252/0001219692-03-000097.txt
10-K	ABRAXAS PETROLEUM	867665	2003-03-25	https://www.sec.gov/Archives/edgar/data/867665/0000867665-03-000012.txt
10-K	ACACIA RESEARCH	934549	2003-03-27	https://www.sec.gov/Archives/edgar/data/934549/0001019687-03-000586.txt
10-K	ACADIA REALTY	899629	2003-03-28	https://www.sec.gov/Archives/edgar/data/899629/0000950116-03-002125.txt
