formtype	companyname	cik	filingdate	url
10-K	ABBOTT	1800	1994-03-03	https://www.sec.gov/Archives/edgar/data/1800/0000912057-94-000771.txt
10-K	ACCEPTANCE INSURANCE COMPANIES	74783	1994-03-31	https://www.sec.gov/Archives/edgar/data/74783/0000074783-94-000006.txt
10-K	ACE HARDWARE	2024	1994-03-23	https://www.sec.gov/Archives/edgar/data/2024/0000002024-94-000010.txt
10-K	ACME METALS INC	883702	1994-03-25	https://www.sec.gov/Archives/edgar/data/883702/0000912057-94-001064.txt
10-K	ACTAVA GROUP	39547	1994-03-31	https://www.sec.gov/Archives/edgar/data/39547/0000950144-94-000799.txt
10-K	ADC TELECOMMUNICATIONS	61478	1994-01-12	https://www.sec.gov/Archives/edgar/data/61478/0000912057-94-000081.txt
10-K	ADDINGTON RESOURCES	810665	1994-03-31	https://www.sec.gov/Archives/edgar/data/810665/0000950131-94-000459.txt
10-K	ADVANCED MICRO DEVICES	2488	1994-03-07	https://www.sec.gov/Archives/edgar/data/2488/0000891618-94-000068.txt
10-K	ADVANCED TECHNOLOGY LABORATORIES	806086	1994-03-04	https://www.sec.gov/Archives/edgar/data/806086/0000950109-94-000357.txt
10-K	ADVANTA	96638	1994-03-30	https://www.sec.gov/Archives/edgar/data/96638/0000893220-94-000181.txt
10-K	AEP GENERATING CO	857571	1994-03-28	https://www.sec.gov/Archives/edgar/data/857571/0000857571-94-000003.txt
10-K	AETNA LIFE & CASUALTY	2648	1994-03-18	https://www.sec.gov/Archives/edgar/data/2648/0000002648-94-000012.txt
10-K	AFLAC	4977	1994-03-30	https://www.sec.gov/Archives/edgar/data/4977/0000004977-94-000006.txt
10-K	AHMANSON H F & CO	771667	1994-03-31	https://www.sec.gov/Archives/edgar/data/771667/0000898430-94-000237.txt
10-K	AIR EXPRESS INTERNATIONAL CORP	700674	1994-03-30	https://www.sec.gov/Archives/edgar/data/700674/0000909518-94-000054.txt
10-K	AIRBORNE FREIGHT CORP	3000	1994-03-29	https://www.sec.gov/Archives/edgar/data/3000/0000891020-94-000052.txt
10-K	ALABAMA POWER	3153	1994-03-28	https://www.sec.gov/Archives/edgar/data/3153/0000950144-94-000714.txt
10-K	ALASKA AIR GROUP	766421	1994-02-08	https://www.sec.gov/Archives/edgar/data/766421/0000766421-94-000003.txt
10-K	ALBANY INTERNATIONAL CORP	819793	1994-03-23	https://www.sec.gov/Archives/edgar/data/819793/0000912057-94-001023.txt
10-K	ALC COMMUNICATIONS	783425	1994-03-30	https://www.sec.gov/Archives/edgar/data/783425/0000950124-94-000645.txt
10-K	ALCOA INTERNATIONAL HOLDINGS	836243	1994-03-25	https://www.sec.gov/Archives/edgar/data/836243/0000836243-94-000003.txt
10-K	ALEXANDER & ALEXANDER SERVICES	3449	1994-03-31	https://www.sec.gov/Archives/edgar/data/3449/0000950112-94-000842.txt
10-K	ALLEGHANY CORP	775368	1994-03-29	https://www.sec.gov/Archives/edgar/data/775368/0000950123-94-000624.txt
10-K	ALLEGHENY & WESTERN RAILWAY	3650	1994-03-30	https://www.sec.gov/Archives/edgar/data/3650/0000003650-94-000001.txt
10-K	ALLEGHENY GENERATING	774459	1994-03-14	https://www.sec.gov/Archives/edgar/data/774459/0000003673-94-000037.txt
10-K	ALLEGHENY LUDLUM	811929	1994-03-15	https://www.sec.gov/Archives/edgar/data/811929/0000950132-94-000076.txt
10-K	ALLEGHENY POWER SYSTEM	3673	1994-03-14	https://www.sec.gov/Archives/edgar/data/3673/0000003673-94-000020.txt
10-K	ALLERGAN	850693	1994-03-28	https://www.sec.gov/Archives/edgar/data/850693/0000892569-94-000085.txt
10-K	ALLIANCE CAPITAL MANAGEMENT	825313	1994-03-30	https://www.sec.gov/Archives/edgar/data/825313/0000912057-94-001177.txt
10-K	ALLNET COMMUNICATION SERVICES	716612	1994-03-30	https://www.sec.gov/Archives/edgar/data/716612/0000950124-94-000644.txt
10-K	ALLTEL	65873	1994-02-18	https://www.sec.gov/Archives/edgar/data/65873/0000065873-94-000003.txt
10-K	ALUMINUM CO OF	4281	1994-03-11	https://www.sec.gov/Archives/edgar/data/4281/0000004281-94-000005.txt
10-K	ALZA	4310	1994-03-31	https://www.sec.gov/Archives/edgar/data/4310/0000912057-94-001192.txt
10-K	AMAX GOLD	814577	1994-03-18	https://www.sec.gov/Archives/edgar/data/814577/0000950131-94-000353.txt
10-K	AMDAHL	4427	1994-03-29	https://www.sec.gov/Archives/edgar/data/4427/0000950131-94-000419.txt
10-K	AMERADA HESS	4447	1994-03-29	https://www.sec.gov/Archives/edgar/data/4447/0000950123-94-000625.txt
10-K	AMERICA WEST AIRLINES	706270	1994-03-31	https://www.sec.gov/Archives/edgar/data/706270/0000706270-94-000007.txt
10-K	AMERICAN AIRLINES	4515	1994-03-31	https://www.sec.gov/Archives/edgar/data/4515/0000950134-94-000332.txt
10-K	AMERICAN ANNUITY GROUP	894651	1994-03-30	https://www.sec.gov/Archives/edgar/data/894651/0000894651-94-000005.txt
10-K	AMERICAN BRANDS INC	789073	1994-03-28	https://www.sec.gov/Archives/edgar/data/789073/0000893838-94-000003.txt
10-K	AMERICAN BUSINESS PRODUCTS	4672	1994-03-25	https://www.sec.gov/Archives/edgar/data/4672/0000950144-94-000686.txt
10-K	AMERICAN CYANAMID	4829	1994-03-31	https://www.sec.gov/Archives/edgar/data/4829/0000004829-94-000001.txt
10-K	AMERICAN EXPRESS	4962	1994-03-31	https://www.sec.gov/Archives/edgar/data/4962/0000004962-94-000006.txt
10-K	AMERICAN EXPRESS CREDIT	4969	1994-03-30	https://www.sec.gov/Archives/edgar/data/4969/0000004969-94-000002.txt
10-K	AMERICAN FINANCIAL	5016	1994-03-31	https://www.sec.gov/Archives/edgar/data/5016/0000005016-94-000027.txt
10-K	AMERICAN GENERAL CORP	5103	1994-03-23	https://www.sec.gov/Archives/edgar/data/5103/0000950129-94-000200.txt
10-K	AMERICAN GENERAL FINANCE	25598	1994-03-23	https://www.sec.gov/Archives/edgar/data/25598/0000025598-94-000002.txt
10-K	AMERICAN GENERAL FINANCE	25600	1994-03-23	https://www.sec.gov/Archives/edgar/data/25600/0000025600-94-000003.txt
10-K	AMERICAN HOME PRODUCTS	5187	1994-03-24	https://www.sec.gov/Archives/edgar/data/5187/0000005187-94-000005.txt
10-K	AMERICAN INDUSTRIAL PROPERTIES REIT	778437	1994-03-31	https://www.sec.gov/Archives/edgar/data/778437/0000950134-94-000328.txt
10-K	AMERICAN INSURED MORTGAGE	724533	1994-03-08	https://www.sec.gov/Archives/edgar/data/724533/0000724533-94-000003.txt
10-K	AMERICAN INSURED MORTGAGE INVESTORS L P SERIES	784014	1994-03-16	https://www.sec.gov/Archives/edgar/data/784014/0000784014-94-000001.txt
10-K	AMERICAN INTERNATIONAL GROUP	5272	1994-03-30	https://www.sec.gov/Archives/edgar/data/5272/0000950123-94-000660.txt
10-K	AMERICAN MAIZE PRODUCTS	5405	1994-03-31	https://www.sec.gov/Archives/edgar/data/5405/0000890613-94-000038.txt
10-K	AMERICAN NUCLEAR	5550	1994-03-30	https://www.sec.gov/Archives/edgar/data/5550/0000005550-94-000003.txt
10-K	AMERICAN PREMIER UNDERWRITERS	77098	1994-03-29	https://www.sec.gov/Archives/edgar/data/77098/0000077098-94-000003.txt
10-K	AMERICAN PRESIDENT COMPANIES	725457	1994-03-09	https://www.sec.gov/Archives/edgar/data/725457/0000725457-94-000005.txt
10-K	AMERICAN STANDARD	5850	1994-03-30	https://www.sec.gov/Archives/edgar/data/5850/0000005850-94-000002.txt
10-K	AMERICAN TELEPHONE & TELEGRAPH	5907	1994-03-25	https://www.sec.gov/Archives/edgar/data/5907/0000005907-94-000008.txt
10-K	AMERICAN WATER WORKS CO	318819	1994-03-30	https://www.sec.gov/Archives/edgar/data/318819/0000318819-94-000007.txt
10-K	AMERITECH CORP	732715	1994-03-31	https://www.sec.gov/Archives/edgar/data/732715/0000950124-94-000670.txt
10-K	AMERON	790730	1994-02-28	https://www.sec.gov/Archives/edgar/data/790730/0000912057-94-000693.txt
10-K	AMETEK	6082	1994-03-25	https://www.sec.gov/Archives/edgar/data/6082/0000950109-94-000548.txt
